"Date","Latitude","Longitude","Matrix","Subregion","atrazine","imidacloprid","glyphosate","clothianidin"
1993-12-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-12-10,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-12-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-12-16,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-12-17,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-12-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-07,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-10,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-10,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-11,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-14,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-19,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-21,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-24,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-25,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-25,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-26,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-26,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1994-01-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-30,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-31,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1994-01-31,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
